event_id,match_id,frame,ball_x,ball_y,distance,angle,pressure,gk_dist,gk_angle_blocked,defenders_cone,one_touch,is_header,phase_type,goal
8_528,2015213,41032,31.18,-3.33,21.578,0.3323,1,1.65,0.1519609767559341,1,1,0,finish,0
8_555,2015213,42648,44.45,-6.5,10.347,0.5616,0,2.66,0.2676145043258871,0,1,0,quick_break,1
8_569,2015213,43762,27.56,-12.42,27.861,0.2349,1,3.36,0.17632802017123203,0,0,0,finish,0
8_586,2015213,44413,47.9,4.78,6.634,0.833,0,1.65,0.34449539628839204,0,0,0,finish,0
8_635,2015213,48015,34.73,11.21,21.01,0.295,3,2.14,0.18458879165776557,1,0,0,transition,0
8_656,2015213,49916,37.76,1.69,14.837,0.481,2,0.77,0.14833482777916365,2,1,0,set_play,0
8_657,2015213,49936,47.68,2.57,5.462,1.1347,4,1.62,0.2647702888329786,0,0,0,set_play,0
8_659,2015213,50292,44.92,19.37,20.8,0.1316,1,0.52,0.44920711046110817,1,1,0,set_play,1
8_670,2015213,52222,47.25,-4.35,6.818,0.8599,2,0.94,0.2425502888017112,0,1,1,set_play,0
8_713,2015213,54479,32.4,-8.57,21.851,0.307,2,1.78,0.16624967240177982,1,0,0,finish,0
8_808,2015213,62526,39.92,4.13,13.241,0.5171,1,1.76,0.17545578819485025,1,1,0,transition,0
8_853,2015213,65303,39.97,-10.11,16.1,0.3571,1,2.32,0.21885568979189915,1,0,0,quick_break,0
8_854,2015213,65724,43.4,-3.0,9.582,0.7042,1,0.49,0.15940511516611383,3,1,1,set_play,0
8_855,2015213,65739,44.42,-3.93,8.985,0.7207,1,0.9,0.17743848795374034,0,1,0,set_play,0
8_914,2015213,69608,42.42,-0.87,10.117,0.6924,2,20.21,0.14069628160279385,0,0,0,transition,1
8_923,2015213,70607,52.07,1.84,1.89,2.8316,1,1.84,0.1654496759709435,0,1,0,finish,1
8_105,2017461,7069,39.2,-13.66,19.065,0.2712,0,2.0,0.23309196604812665,1,0,0,finish,0
8_128,2017461,9335,25.74,-14.35,30.365,0.2123,1,2.31,0.16973950789547604,1,0,0,finish,0
8_207,2017461,12878,37.92,-15.25,21.098,0.2423,1,1.95,0.2326154036051716,1,0,0,set_play,0
8_208,2017461,12896,35.61,-8.88,19.082,0.3389,1,2.34,0.1808040504140198,2,1,0,set_play,0
8_209,2017461,12926,32.88,4.58,20.147,0.3508,1,2.48,0.16275911065513618,1,1,0,set_play,0
8_211,2017461,13075,41.7,-11.02,15.43,0.3383,2,1.94,0.2553182930855997,2,0,0,transition,0
8_219,2017461,13928,29.45,5.75,23.756,0.2972,1,2.59,0.16023313722027693,2,0,0,finish,0
8_279,2017461,20039,40.32,10.18,15.874,0.3576,2,2.79,0.2211268341247864,1,1,1,set_play,0
8_281,2017461,20246,27.92,7.57,25.719,0.2708,1,3.53,0.16588273542581528,0,0,0,quick_break,0
8_285,2017461,20364,42.38,-13.48,16.856,0.2671,0,1.58,0.2743028286330402,1,1,0,quick_break,0
8_344,2017461,24286,41.33,-8.15,13.827,0.431,1,1.82,0.21580209842504414,1,1,0,transition,0
8_346,2017461,24329,32.85,-7.19,20.924,0.3268,0,1.73,0.16327700454543054,0,1,0,finish,0
8_401,2017461,28509,35.78,3.07,17.0,0.4179,2,1.26,0.15128534803705576,1,0,0,finish,0
8_459,2017461,41674,40.81,-6.33,13.294,0.4826,2,3.19,0.21219303643481166,0,0,0,transition,0
8_473,2017461,43897,49.58,4.98,5.773,0.8203,2,0.65,0.31289224865570897,0,1,1,set_play,0
8_518,2017461,47798,35.74,-8.1,18.615,0.3529,1,2.43,0.1786497226237244,2,0,0,finish,0
8_553,2017461,50932,49.77,-0.55,2.785,1.8459,2,0.51,0.23983421549669087,0,1,1,finish,1
8_569,2017461,52565,45.1,-12.21,14.277,0.2771,0,1.91,0.3459611994045594,0,0,0,quick_break,0
8_663,2017461,58416,38.86,16.51,21.416,0.2206,1,1.68,0.2527348068341705,0,0,0,transition,0
8_683,2017461,59368,28.1,4.72,24.852,0.2874,1,2.83,0.15812509356365556,2,0,0,quick_break,0
8_826,2017461,69501,37.08,6.75,16.833,0.396,1,5.71,0.23044354712106538,0,0,0,transition,0
8_838,2017461,69858,36.32,-12.12,20.216,0.2911,1,1.88,0.1944806374256174,2,1,0,finish,0
8_89,2017461,6627,36.09,-10.16,19.301,0.3228,1,1.94,0.18365593719822004,1,1,0,finish,0
